Classifier,Cross-Validated Accuracy (5-fold),Cross-Validated Weighted Kappa (5-fold),Test Set Accuracy,Test Set Weighted Kappa,Test Set AUC,95% CI Lower,95% CI Upper
Random Forest,0.682648401826484,0.48299319727891155,0.7523809523809524,0.5690454124189064,0.6499654733862882,0.7538828472633062,0.8244316278156323
Gradient Boosting,0.6735159817351598,0.4511784511784511,0.6761904761904762,0.4219924812030076,0.7203668465186079,0.6776716587417752,0.7507237718271108
XGBoost,0.7168949771689498,0.5586206896551724,0.7523809523809524,0.6239102520781239,0.7213986149221432,0.7494353873950788,0.8164118690739717
LightGBM,0.7123287671232876,0.5284974093264249,0.6857142857142857,0.41646655231560903,0.6669456225483095,0.6799548426368888,0.7519966261193434
CatBoost,0.7511415525114156,0.5966101694915253,0.8095238095238095,0.6900161030595813,0.8333467171541225,0.8076104654639762,0.8726142501989703
