Classifier,Cross-Validated Accuracy (5-fold),Cross-Validated Weighted Kappa (5-fold),Test Set Accuracy,Test Set Weighted Kappa,Test Set AUC,95% CI Lower,95% CI Upper
Random Forest,0.7919463087248322,0.6440677966101696,0.8,0.6417910447761195,0.7298493939860163,0.7998308957670838,0.8416155837517768
Gradient Boosting,0.8031319910514542,0.67779632721202,0.8285714285714286,0.7020301244269811,0.85035130006667,0.8276994752355237,0.8626866266787898
XGBoost,0.7897091722595079,0.6453781512605041,0.8,0.656188605108055,0.832459356890097,0.8003968668891176,0.844766138080735
LightGBM,0.8165548098434005,0.7104377104377104,0.8095238095238095,0.6909325866896403,0.8605078038189994,0.8088474946232123,0.8509868658306967
CatBoost,0.8456375838926175,0.7474747474747474,0.8857142857142857,0.775736864587783,0.8705745593791135,0.8833582804437266,0.9209184509849427
