Classifier,Cross-Validated Accuracy (5-fold),Cross-Validated Weighted Kappa (5-fold),Test Set Accuracy,Test Set Weighted Kappa,Test Set AUC,95% CI Lower,95% CI Upper
Random Forest,0.7581699346405228,0.6013289036544851,0.7428571428571429,0.5151359671626475,0.628747875179833,0.7383304132342893,0.7967161670995863
Gradient Boosting,0.7559912854030502,0.5973597359735974,0.780952380952381,0.6056782334384858,0.7396176751586391,0.7775368332615892,0.8382627914276806
XGBoost,0.775599128540305,0.6468646864686469,0.780952380952381,0.5816733067729084,0.744514414095256,0.7777276364181358,0.8369792517100845
LightGBM,0.7690631808278867,0.6436781609195402,0.8095238095238095,0.6451937594363362,0.7703169707297981,0.80621382245378,0.865689173142314
CatBoost,0.8082788671023965,0.6830870279146142,0.8380952380952381,0.7106598984771573,0.7852027000430494,0.8350332293109352,0.894721462759646
