Classifier,Cross-Validated Accuracy (5-fold),Cross-Validated Weighted Kappa (5-fold),Test Set Accuracy,Test Set Weighted Kappa,Test Set AUC,95% CI Lower,95% CI Upper
Random Forest,0.9078947368421053,0.8708609271523179,0.8761904761904762,0.7679407176287052,0.746909869045834,0.872749054678189,0.9002690675291017
Gradient Boosting,0.8859649122807017,0.8386023294509152,0.8857142857142857,0.7998475028593214,0.8838605654687527,0.8822213351586936,0.9067357965426609
XGBoost,0.8925438596491229,0.8590381426202321,0.8857142857142857,0.8148148148148149,0.887026386598024,0.8837192529630036,0.9172857274700027
LightGBM,0.8991228070175439,0.859504132231405,0.8952380952380953,0.8029508833236265,0.8984326902250879,0.8929489236006956,0.9213386907696495
CatBoost,0.9166666666666666,0.8718801996672213,0.9047619047619048,0.8497854077253219,0.9084301786041552,0.9030543555794674,0.9324580971482519
