Classifier,Cross-Validated Accuracy (5-fold),Cross-Validated Weighted Kappa (5-fold),Test Set Accuracy,Test Set Weighted Kappa,Test Set AUC,95% CI Lower,95% CI Upper
Random Forest,0.7725225225225225,0.6463620981387479,0.8095238095238095,0.7584937898403101,0.7074528437398411,0.8080772139398829,0.8574834819580727
Gradient Boosting,0.7387387387387387,0.5506756756756757,0.8380952380952381,0.816778523489933,0.8033893600986696,0.8360066630406885,0.8870048652948556
XGBoost,0.75,0.6033898305084746,0.8666666666666667,0.8367471101196512,0.8338111676141732,0.8655018007570665,0.912249789467311
LightGBM,0.7454954954954955,0.5854483925549916,0.8285714285714286,0.791363094449596,0.8461145049069957,0.8267443197206685,0.8725884310097776
CatBoost,0.8108108108108109,0.7086882453151618,0.8666666666666667,0.8390750982874658,0.8500953643574416,0.8643330221627429,0.9165275792825434
