iter	Passed	Remaining
161	522	2702
162	525	2698
163	528	2695
164	532	2692
165	535	2690
166	538	2685
167	541	2680
168	544	2676
169	547	2673
170	551	2674
171	554	2669
172	557	2665
173	560	2662
174	564	2661
175	567	2657
176	570	2652
177	573	2647
178	576	2643
179	579	2642
180	582	2637
181	585	2632
182	588	2627
183	591	2622
184	594	2619
185	598	2618
186	601	2613
187	603	2607
188	606	2602
189	609	2600
190	613	2598
191	616	2594
192	619	2589
193	622	2585
194	625	2580
195	628	2578
196	631	2574
197	634	2568
198	636	2563
199	640	2562
200	644	2560
201	647	2558
202	650	2553
203	654	2552
204	657	2549
205	660	2547
206	664	2543
207	667	2540
208	670	2536
209	673	2533
210	676	2530
211	679	2527
212	682	2523
213	685	2519
214	689	2516
215	692	2515
216	696	2514
217	699	2510
218	703	2507
219	706	2504
220	709	2501
221	713	2499
222	716	2495
223	719	2491
224	722	2488
225	725	2485
226	728	2482
227	731	2478
228	734	2474
229	738	2471
230	741	2469
231	745	2466
232	748	2462
233	751	2459
234	754	2456
235	758	2454
236	761	2451
237	764	2446
238	767	2443
239	771	2442
240	775	2441
241	778	2438
242	781	2433
243	784	2431
244	788	2429
245	791	2426
246	794	2422
247	797	2417
248	800	2414
249	803	2411
250	807	2408
251	809	2404
252	812	2399
253	816	2398
254	819	2394
255	823	2392
256	825	2387
257	828	2382
258	832	2381
259	835	2379
260	840	2378
261	843	2374
262	846	2371
263	849	2369
264	853	2367
265	856	2363
266	859	2359
267	862	2356
268	866	2354
269	870	2353
270	873	2349
271	876	2346
272	880	2343
273	883	2341
274	888	2341
275	891	2338
276	894	2334
277	897	2331
278	901	2329
279	904	2325
280	907	2323
281	911	2320
282	915	2319
283	919	2318
284	922	2314
285	925	2310
286	929	2308
287	933	2307
288	936	2304
289	940	2302
290	944	2300
291	948	2300
292	954	2302
293	957	2299
294	961	2297
295	965	2297
296	970	2296
297	973	2293
298	977	2290
299	981	2289
300	985	2288
301	988	2285
302	991	2281
303	995	2278
304	998	2275
305	1001	2271
306	1004	2267
307	1007	2263
308	1010	2259
309	1013	2256
310	1017	2254
311	1020	2250
312	1023	2246
313	1027	2244
314	1030	2241
315	1034	2240
316	1038	2236
317	1041	2233
318	1044	2230
319	1047	2226
320	1050	2222
321	1053	2217
322	1056	2213
323	1059	2210
324	1062	2207
325	1066	2205
326	1069	2201
327	1073	2199
328	1076	2196
329	1080	2193
330	1083	2189
331	1086	2186
332	1089	2182
333	1093	2180
334	1096	2177
335	1100	2175
336	1104	2172
337	1107	2169
338	1110	2166
339	1114	2162
340	1117	2159
341	1120	2155
342	1123	2151
343	1126	2148
344	1130	2145
345	1133	2143
346	1136	2139
347	1139	2135
348	1142	2131
349	1146	2128
350	1149	2124
351	1152	2120
352	1154	2116
353	1158	2113
354	1161	2111
355	1165	2108
356	1168	2105
357	1172	2101
358	1175	2098
359	1179	2097
360	1183	2094
361	1186	2091
362	1190	2089
363	1194	2086
364	1198	2084
365	1201	2081
366	1204	2077
367	1209	2076
368	1213	2074
369	1216	2071
370	1219	2067
371	1223	2065
372	1227	2062
373	1231	2060
374	1233	2056
375	1237	2053
376	1240	2050
377	1244	2047
378	1247	2043
379	1250	2040
380	1255	2039
381	1259	2037
382	1262	2034
383	1266	2032
384	1270	2029
385	1274	2027
386	1277	2024
387	1281	2021
388	1286	2020
389	1290	2018
390	1295	2017
391	1299	2015
392	1302	2012
393	1306	2009
394	1309	2006
395	1313	2002
396	1316	1999
397	1320	1997
398	1323	1994
399	1327	1991
400	1330	1987
401	1333	1983
402	1336	1980
403	1340	1977
404	1343	1973
405	1346	1969
406	1349	1966
407	1353	1963
408	1357	1961
409	1360	1957
410	1362	1953
411	1365	1949
412	1369	1945
413	1372	1942
414	1375	1938
415	1377	1934
416	1381	1931
417	1384	1927
418	1388	1925
419	1391	1921
420	1394	1917
421	1397	1913
422	1400	1910
423	1403	1906
424	1406	1902
425	1409	1899
426	1412	1895
427	1418	1895
428	1422	1892
429	1425	1889
430	1428	1885
431	1431	1882
432	1434	1878
433	1437	1874
434	1440	1870
435	1443	1867
436	1446	1864
437	1450	1861
438	1454	1858
439	1457	1854
440	1460	1851
441	1463	1847
442	1466	1844
443	1469	1840
444	1472	1836
445	1475	1832
446	1478	1829
447	1482	1826
448	1486	1824
449	1489	1820
450	1492	1817
451	1496	1813
452	1499	1810
453	1501	1806
454	1504	1802
455	1507	1798
456	1511	1796
457	1515	1793
458	1519	1791
459	1523	1787
460	1525	1784
461	1529	1780
462	1532	1777
463	1535	1773
464	1538	1770
465	1541	1766
466	1545	1763
467	1548	1760
468	1552	1757
469	1555	1753
470	1558	1749
471	1561	1746
472	1564	1742
473	1567	1739
474	1570	1735
475	1573	1732
476	1577	1729
477	1580	1726
478	1583	1722
479	1586	1718
480	1589	1715
481	1592	1711
482	1596	1708
483	1600	1705
484	1604	1703
485	1608	1700
486	1611	1698
487	1614	1694
488	1618	1690
489	1621	1687
490	1624	1683
491	1627	1680
492	1630	1676
493	1632	1672
494	1636	1669
495	1640	1666
496	1643	1663
497	1646	1659
498	1649	1656
499	1652	1652
500	1655	1649
501	1658	1645
502	1661	1641
503	1664	1638
504	1668	1635
505	1671	1632
506	1675	1629
507	1678	1625
508	1681	1621
509	1684	1618
510	1687	1615
511	1690	1611
512	1693	1607
513	1696	1604
514	1700	1601
515	1703	1598
516	1707	1594
517	1709	1590
518	1712	1587
519	1716	1584
520	1719	1580
521	1722	1576
522	1724	1573
523	1728	1570
524	1732	1567
525	1736	1564
526	1739	1560
527	1742	1557
528	1745	1553
529	1748	1550
530	1751	1546
531	1754	1543
532	1756	1539
533	1760	1536
534	1764	1533
535	1767	1530
536	1770	1526
537	1773	1522
538	1776	1519
539	1780	1516
540	1783	1512
541	1786	1509
542	1789	1506
543	1793	1503
544	1797	1500
545	1800	1497
546	1803	1493
547	1806	1489
548	1810	1487
549	1813	1483
550	1816	1480
551	1819	1476
552	1823	1473
553	1826	1470
554	1830	1467
555	1833	1463
556	1836	1460
557	1839	1457
558	1842	1453
559	1845	1449
560	1848	1446
561	1851	1443
562	1855	1440
563	1858	1436
564	1861	1433
565	1864	1429
566	1867	1426
567	1871	1423
568	1874	1420
569	1877	1416
570	1881	1413
571	1884	1410
572	1887	1406
573	1890	1403
574	1893	1399
575	1897	1396
576	1900	1393
577	1903	1390
578	1906	1386
579	1910	1383
580	1913	1380
581	1917	1377
582	1920	1373
583	1923	1369
584	1927	1367
585	1930	1364
586	1934	1361
587	1938	1357
588	1942	1355
589	1945	1352
590	1949	1348
591	1952	1345
592	1955	1342
593	1959	1339
594	1962	1336
595	1965	1332
596	1968	1328
597	1972	1326
598	1975	1322
599	1979	1319
600	1982	1316
601	1986	1313
602	1990	1310
603	1994	1307
604	1997	1304
605	2000	1300
606	2004	1297
607	2007	1294
608	2010	1291
609	2013	1287
610	2017	1284
611	2020	1281
612	2024	1277
613	2027	1274
614	2029	1270
615	2033	1267
616	2036	1264
617	2039	1260
618	2043	1257
619	2046	1254
620	2049	1250
621	2053	1247
622	2056	1244
623	2058	1240
624	2061	1237
625	2064	1233
626	2067	1230
627	2070	1226
628	2074	1223
629	2078	1220
630	2080	1216
631	2084	1213
632	2088	1210
633	2092	1207
634	2095	1204
635	2098	1201
636	2102	1198
637	2105	1194
638	2109	1191
639	2112	1188
640	2115	1184
641	2118	1181
642	2122	1178
643	2125	1174
644	2128	1171
645	2131	1168
646	2134	1164
647	2138	1161
648	2141	1157
649	2143	1154
650	2147	1151
651	2150	1147
652	2153	1144
653	2156	1141
654	2159	1137
655	2162	1133
656	2165	1130
657	2169	1127
658	2172	1123
659	2174	1120
660	2177	1116
661	2180	1113
662	2184	1110
663	2187	1106
664	2190	1103
665	2193	1099
666	2196	1096
667	2202	1094
668	2205	1091
669	2208	1087
670	2212	1084
671	2215	1081
672	2218	1078
673	2221	1074
674	2224	1071
675	2228	1068
676	2232	1065
677	2235	1061
678	2238	1058
679	2241	1054
680	2245	1051
681	2248	1048
682	2251	1045
683	2254	1041
684	2257	1038
685	2260	1034
686	2263	1031
687	2266	1027
688	2269	1024
689	2273	1021
690	2277	1018
691	2280	1015
692	2284	1012
693	2287	1008
694	2291	1005
695	2295	1002
696	2300	1000
697	2304	996
698	2308	994
699	2312	991
700	2316	988
701	2320	985
702	2325	982
703	2329	979
704	2333	976
705	2337	973
706	2342	970
707	2346	967
708	2350	964
709	2353	961
710	2357	958
711	2361	955
712	2364	951
713	2368	948
714	2371	945
715	2374	942
716	2380	939
717	2383	936
718	2387	933
719	2391	930
720	2394	926
721	2397	923
722	2400	919
723	2404	916
724	2408	913
725	2411	910
726	2414	906
727	2417	903
728	2421	900
729	2425	896
730	2428	893
731	2431	890
732	2434	886
733	2438	883
734	2442	880
735	2445	877
736	2448	873
737	2452	870
738	2455	867
739	2458	863
740	2461	860
741	2464	856
742	2468	853
743	2471	850
744	2474	846
745	2477	843
746	2480	839
747	2483	836
748	2486	833
749	2490	830
750	2492	826
751	2495	823
752	2498	819
753	2502	816
754	2505	812
755	2508	809
756	2511	806
757	2514	802
758	2517	799
759	2520	796
760	2523	792
761	2527	789
762	2529	785
763	2533	782
764	2536	779
765	2539	775
766	2542	772
767	2545	769
768	2549	765
769	2552	762
770	2555	759
771	2558	755
772	2561	752
773	2564	748
774	2567	745
775	2571	742
776	2574	738
777	2576	735
778	2579	731
779	2582	728
780	2586	725
781	2589	721
782	2592	718
783	2595	715
784	2598	711
785	2602	708
786	2605	705
787	2607	701
788	2610	698
789	2614	694
790	2618	691
791	2620	688
792	2623	684
793	2626	681
794	2630	678
795	2634	675
796	2637	671
797	2640	668
798	2643	665
799	2647	661
800	2650	658
801	2653	655
802	2656	651
803	2660	648
804	2663	645
805	2667	641
806	2670	638
807	2672	635
808	2676	631
809	2680	628
810	2683	625
811	2686	622
812	2689	618
813	2693	615
814	2696	612
815	2699	608
816	2702	605
817	2706	602
818	2710	598
819	2713	595
820	2716	592
821	2719	588
822	2722	585
823	2726	582
824	2730	579
825	2733	575
826	2736	572
827	2740	569
828	2743	565
829	2746	562
830	2750	559
831	2753	556
832	2757	552
833	2761	549
834	2765	546
835	2769	543
836	2773	540
837	2777	536
838	2781	533
839	2785	530
840	2788	527
841	2792	523
842	2796	520
843	2799	517
844	2802	513
845	2805	510
846	2809	507
847	2813	504
848	2816	501
849	2820	497
850	2824	494
851	2828	491
852	2831	487
853	2833	484
854	2836	481
855	2841	477
856	2845	474
857	2848	471
858	2851	468
859	2855	464
860	2858	461
861	2861	458
862	2864	454
863	2867	451
864	2870	448
865	2875	444
866	2878	441
867	2881	438
868	2885	434
869	2888	431
870	2891	428
871	2894	424
872	2897	421
873	2901	418
874	2905	415
875	2908	411
876	2911	408
877	2915	405
878	2918	401
879	2921	398
880	2924	394
881	2926	391
882	2930	388
883	2934	385
884	2937	381
885	2940	378
886	2944	375
887	2947	371
888	2950	368
889	2952	364
890	2955	361
891	2959	358
892	2963	355
893	2966	351
894	2969	348
895	2972	345
896	2975	341
897	2978	338
898	2981	334
899	2984	331
900	2989	328
901	2992	325
902	2995	321
903	2998	318
904	3002	315
905	3005	311
906	3008	308
907	3011	305
908	3015	301
909	3019	298
910	3022	295
911	3025	291
912	3029	288
913	3032	285
914	3035	281
915	3038	278
916	3041	275
917	3045	272
918	3049	268
919	3052	265
920	3055	262
921	3058	258
922	3061	255
923	3064	252
924	3068	248
925	3072	245
926	3075	242
927	3078	238
928	3083	235
929	3087	232
930	3090	229
931	3094	225
932	3099	222
933	3102	219
934	3105	215
935	3110	212
936	3114	209
937	3117	206
938	3120	202
939	3125	199
940	3128	196
941	3132	192
942	3135	189
943	3138	186
944	3142	182
945	3146	179
946	3150	176
947	3153	172
948	3158	169
949	3162	166
950	3165	163
951	3168	159
952	3171	156
953	3175	153
954	3178	149
955	3180	146
956	3184	143
957	3186	139
958	3191	136
959	3194	133
960	3197	129
961	3200	126
962	3203	123
963	3206	119
964	3209	116
965	3212	113
966	3216	109
967	3220	106
968	3224	103
969	3227	99
970	3231	96
971	3234	93
972	3237	89
973	3240	86
974	3243	83
975	3248	79
976	3252	76
977	3255	73
978	3258	69
979	3262	66
980	3265	63
981	3268	59
982	3271	56
983	3275	53
984	3279	49
985	3282	46
986	3285	43
987	3289	39
988	3292	36
989	3295	33
990	3298	29
991	3302	26
992	3306	23
993	3309	19
994	3313	16
995	3317	13
996	3320	9
997	3323	6
998	3326	3
999	3331	0
