iter	MultiClass
144	0.2537662516
145	0.2517172619
146	0.2503135616
147	0.2484704892
148	0.2465742112
149	0.2444504026
150	0.2425504792
151	0.2401903842
152	0.2380523091
153	0.2353915119
154	0.2333796089
155	0.2313947026
156	0.2300146597
157	0.2285041635
158	0.2269366344
159	0.2254053927
160	0.2238268957
161	0.2226991451
162	0.2208109203
163	0.2192970791
164	0.2172945882
165	0.2153409283
166	0.2140413111
167	0.2125754751
168	0.2104557907
169	0.2089220926
170	0.2078703696
171	0.2064249863
172	0.2045921228
173	0.2027775332
174	0.2017587566
175	0.2002393913
176	0.1988144956
177	0.1975461299
178	0.195995105
179	0.1946325836
180	0.1930920009
181	0.1915036025
182	0.1901142206
183	0.1888043695
184	0.1873772666
185	0.1863553341
186	0.1848359943
187	0.1837198806
188	0.1822608514
189	0.1807931513
190	0.1794981228
191	0.1788351716
192	0.1773551412
193	0.1760741739
194	0.1748432235
195	0.1731847343
196	0.1717213609
197	0.1708467986
198	0.1694347636
199	0.1688062
200	0.1678197405
201	0.1668765031
202	0.1659026556
203	0.16509308
204	0.1642002684
205	0.1627450744
206	0.1617392523
207	0.1607332603
208	0.1598291862
209	0.159106356
210	0.1578133193
211	0.1567796841
212	0.1558555126
213	0.1547955583
214	0.1538044284
215	0.1524996447
216	0.1513086037
217	0.1503504914
218	0.1494836304
219	0.1486058808
220	0.1479561666
221	0.1470812395
222	0.1460983198
223	0.1453990023
224	0.1441916034
225	0.1435234516
226	0.1430209996
227	0.1426371446
228	0.1416919008
229	0.1404372743
230	0.1395913206
231	0.1386704007
232	0.1377507959
233	0.1368605046
234	0.1357740447
235	0.1352798398
236	0.1344840481
237	0.1335783788
238	0.1331170077
239	0.1324238689
240	0.1314998337
241	0.1309279363
242	0.1301594517
243	0.1292764947
244	0.1282478137
245	0.1275511502
246	0.126760159
247	0.1262863703
248	0.1254001621
249	0.1248227294
250	0.1242076093
251	0.1233590367
252	0.1227089302
253	0.1222727132
254	0.1214273301
255	0.1208091232
256	0.1201876379
257	0.1198241091
258	0.1193059607
259	0.1183938198
260	0.1178828496
261	0.117400778
262	0.116928744
263	0.1162193787
264	0.1154906864
265	0.1148272976
266	0.1143493413
267	0.113875838
268	0.1133980908
269	0.1128397866
270	0.1122623795
271	0.111794104
272	0.111336084
273	0.1108489755
274	0.1102563304
275	0.1097188432
276	0.1091739544
277	0.1088989462
278	0.1082378797
279	0.1076734603
280	0.1071553077
281	0.1064406743
282	0.1063048347
283	0.1059448121
284	0.105456961
285	0.1048574881
286	0.1044621266
287	0.1039845899
288	0.1035052452
289	0.1032558783
290	0.1029057955
291	0.1022619687
292	0.1016313296
293	0.10125734
294	0.1006439502
295	0.1001727623
296	0.09967021116
297	0.0991991226
298	0.09860580595
299	0.09799641529
300	0.09765932756
301	0.09719237827
302	0.09683060628
303	0.09630749238
304	0.09592540381
305	0.09545512408
306	0.09511647301
307	0.09481217841
308	0.09427747157
309	0.09392542097
310	0.09353943282
311	0.09316342372
312	0.09271538054
313	0.09232750696
314	0.09185464297
315	0.09143717003
316	0.09119927681
317	0.09087140352
318	0.09042181313
319	0.09000339681
320	0.0895632056
321	0.08908575108
322	0.08874177862
323	0.08850235171
324	0.08811606354
325	0.08775493281
326	0.08738117409
327	0.08705299825
328	0.08663514062
329	0.0861736851
330	0.0858853389
331	0.08564193964
332	0.08522635347
333	0.0849048939
334	0.08451917522
335	0.08422151487
336	0.08394451547
337	0.08356471031
338	0.08325312504
339	0.08289354028
340	0.08244502036
341	0.08201724193
342	0.0817510738
343	0.0815542473
344	0.08122528639
345	0.0808366442
346	0.08050582968
347	0.08015321294
348	0.07979768759
349	0.07942190842
350	0.07910305981
351	0.07883988334
352	0.0784478074
353	0.07835113926
354	0.07814013408
355	0.07796640068
356	0.0776131443
357	0.07736890645
358	0.07703171142
359	0.07675054279
360	0.07640339008
361	0.07611732274
362	0.07577304778
363	0.07542868414
364	0.07510258172
365	0.07482590596
366	0.07454584174
367	0.07434178663
368	0.07396756684
369	0.07363392621
370	0.07334931852
371	0.07308498876
372	0.07278333242
373	0.07258232796
374	0.07234262717
375	0.07215093688
376	0.07190105362
377	0.07163027878
378	0.07127442009
379	0.07104084927
380	0.0707264277
381	0.07059387142
382	0.0703591262
383	0.07004533436
384	0.06983390187
385	0.06952582927
386	0.06929615236
387	0.06918139686
388	0.06888688214
389	0.06865154455
390	0.06847961296
391	0.06827089407
392	0.06799122594
393	0.06773119732
394	0.0675041097
395	0.06725318008
396	0.06693676331
397	0.06671517931
398	0.06652124548
399	0.06614948282
400	0.06585646963
401	0.06561304004
402	0.06545994947
403	0.06520219991
404	0.06496920471
405	0.06473388185
406	0.06438886583
407	0.06417850618
408	0.06395738449
409	0.06373796234
410	0.06360998871
411	0.0633418542
412	0.0631468379
413	0.06293348994
414	0.0627350871
415	0.0625300413
416	0.06238693993
417	0.06224202919
418	0.06199134185
419	0.06183286281
420	0.06152222026
421	0.06134975558
422	0.06109865408
423	0.06084084828
424	0.06059317397
425	0.06040504655
426	0.06016767198
427	0.05997922396
428	0.05979504044
429	0.05969552898
430	0.05949937284
431	0.05929160971
432	0.0591257529
433	0.05902305059
434	0.05899655893
435	0.05881029014
436	0.05867776874
437	0.05844978452
438	0.05830107388
439	0.0581620522
440	0.05793580019
441	0.05780309071
442	0.05758505326
443	0.05742945816
444	0.05724761963
445	0.0570829922
446	0.05688488571
447	0.05662842473
448	0.05649647104
449	0.05635596914
450	0.05616071413
451	0.05602586219
452	0.0558756191
453	0.05575909445
454	0.05568555459
455	0.05545801943
456	0.05528020781
457	0.05507498589
458	0.05486717556
459	0.0547071511
460	0.0545527503
461	0.05443054618
462	0.05424755089
463	0.05404830422
464	0.0539051479
465	0.05372511892
466	0.05355196023
467	0.05336381628
468	0.05318220234
469	0.05298555663
470	0.05278839728
471	0.05253096299
472	0.05234916035
473	0.05218631772
474	0.05201931846
475	0.05182537773
476	0.05163875674
477	0.05148668199
478	0.05134545454
479	0.05122682324
480	0.05102706287
481	0.05083187564
482	0.05066757964
483	0.05048364938
484	0.05034050739
485	0.05017679376
486	0.0500283225
487	0.04986883462
488	0.04975782035
489	0.04965239343
490	0.04944680252
491	0.04931545676
492	0.04912952519
493	0.04899392476
494	0.04889285036
495	0.04885450713
496	0.04874016288
497	0.0486488135
498	0.04848721984
499	0.04837590372
500	0.04823366556
501	0.04815792704
502	0.04800573695
503	0.04789604928
504	0.04776550982
505	0.04763254871
506	0.04747459732
507	0.04734526937
508	0.04720517542
509	0.04707374943
510	0.04696855646
511	0.04681185181
512	0.04668926592
513	0.04650499589
514	0.04637907693
515	0.04628913531
516	0.04620172042
517	0.04603417332
518	0.04589655248
519	0.04570044104
520	0.04556312556
521	0.04536089511
522	0.04528415886
523	0.04514775352
524	0.0450725695
525	0.04494894942
526	0.04484769895
527	0.04471950913
528	0.04459558525
529	0.04445483179
530	0.04434244299
531	0.04419630736
532	0.04407778071
533	0.04393959144
534	0.0438821306
535	0.0437477559
536	0.04360633954
537	0.04349900965
538	0.04340506408
539	0.04330699389
540	0.0432091717
541	0.04311690004
542	0.04301234059
543	0.04288688629
544	0.04274991648
545	0.04260650902
546	0.04248587784
547	0.04234698241
548	0.04222210021
549	0.04211998724
550	0.04203779438
551	0.04190753636
552	0.04181108135
553	0.0416978591
554	0.04162541062
555	0.04152039954
556	0.04145008127
557	0.04131968655
558	0.04122280402
559	0.04110769057
560	0.04103432991
561	0.04092928848
562	0.04084511062
563	0.04072364163
564	0.04059033278
565	0.04050171589
566	0.04040807009
567	0.04033541227
568	0.04026199623
569	0.04018167332
570	0.04008494322
571	0.03996530993
572	0.03987562769
573	0.03977773496
574	0.03970853232
575	0.03961786338
576	0.03950474232
577	0.03942670048
578	0.0392624855
579	0.0391989092
580	0.03906844744
581	0.03898605214
582	0.03888690704
583	0.03881186776
584	0.03872263425
585	0.03864092059
586	0.0385205069
587	0.03841534229
588	0.03833732761
589	0.03821229557
590	0.03814867621
591	0.0380936987
592	0.03800195022
593	0.03791411641
594	0.03781959352
595	0.03775615866
596	0.03769510869
597	0.03761504057
598	0.03753116911
599	0.03744600708
600	0.03734317146
601	0.03724614202
602	0.03716317219
603	0.03705948985
604	0.03698125353
605	0.03689126824
606	0.03680876714
607	0.03673414843
608	0.03664238628
609	0.03654978013
610	0.03646755645
611	0.03634745977
612	0.03624793209
613	0.03612398036
614	0.03604277343
615	0.03589845898
616	0.03578520173
617	0.03570314437
618	0.03558088613
619	0.03551947189
620	0.03542453541
621	0.03530848244
622	0.03525175327
623	0.03518308798
624	0.0351159716
625	0.03504239343
626	0.03495935993
627	0.03492706991
628	0.03484356315
629	0.0347689376
630	0.03471190275
631	0.03463243654
632	0.03455338654
633	0.03448418963
634	0.03439963773
635	0.03434385603
636	0.03427980406
637	0.03422166823
638	0.03410973942
639	0.03406138027
640	0.03398428897
641	0.03390232155
642	0.03383082476
643	0.03375731308
644	0.03370174864
645	0.03362551548
646	0.0335465672
647	0.0334709591
648	0.03339840883
649	0.03332866615
650	0.03326088535
651	0.03319902926
652	0.0331373511
653	0.0330867278
654	0.03300777502
655	0.0329150209
656	0.03287887361
657	0.0328317416
658	0.03276438085
659	0.03270646716
660	0.03264826424
661	0.03255724602
662	0.03249864882
663	0.03242685742
664	0.03236207754
665	0.03229523588
666	0.03221182521
667	0.03216925545
668	0.03211952497
669	0.03201566978
670	0.03193983846
671	0.03187489145
672	0.03180750915
673	0.03174072887
674	0.03167385348
675	0.03161512408
676	0.03155180116
677	0.03148845993
678	0.03142150367
679	0.0313123336
680	0.03126669351
681	0.03121958462
682	0.03117533015
683	0.03110862154
684	0.03104042286
685	0.03098499535
686	0.03091817129
687	0.03085336131
688	0.03078008468
689	0.03071851445
690	0.03068538197
691	0.03062425435
692	0.03056679459
693	0.03053322963
694	0.03048511089
695	0.03040922248
696	0.03036705985
697	0.03029710096
698	0.03021751978
699	0.03015763832
700	0.0300693765
701	0.03001155905
702	0.02993316676
703	0.02987743336
704	0.02981712157
705	0.02973987018
706	0.02967685892
707	0.02963692379
708	0.02956584469
709	0.02950535907
710	0.02946005938
711	0.02939215833
712	0.02934443724
713	0.0292821871
714	0.02921690325
715	0.02915446246
716	0.02911995482
717	0.02909097715
718	0.02902904764
719	0.02897361634
720	0.02892784558
721	0.02887073181
722	0.02882029241
723	0.02877775059
724	0.02874055617
725	0.02867396669
726	0.02861748459
727	0.02855916986
728	0.02850304207
729	0.02845277801
730	0.02840013967
731	0.0283279224
732	0.02827996715
733	0.02820756578
734	0.02814997355
735	0.02809213226
736	0.02802283513
737	0.02797165468
738	0.02792422675
739	0.02786151041
740	0.02781761542
741	0.02777074083
742	0.02770689518
743	0.02763085209
744	0.02758314123
745	0.02753029387
746	0.02746799547
747	0.02740332703
748	0.02736410534
749	0.02732266936
750	0.02726548929
751	0.02722355065
752	0.02716135356
753	0.02711960544
754	0.02706538646
755	0.02700020363
756	0.02696847015
757	0.0269136966
758	0.02685614723
759	0.02682237126
760	0.02676543223
761	0.02669868912
762	0.02663553256
763	0.02657434807
764	0.02653570932
765	0.02647762129
766	0.02642365193
767	0.02636960727
768	0.02632844457
769	0.02629072797
770	0.02624860455
771	0.0261822419
772	0.02614277841
773	0.02609355507
774	0.02605249219
775	0.02599097632
776	0.02593691864
777	0.02589874019
778	0.02585765853
779	0.02581991015
780	0.02575440881
781	0.0256987681
782	0.02565287309
783	0.02561306016
784	0.02555899429
785	0.02553622915
786	0.02550375178
787	0.02546890721
788	0.02542389249
789	0.02539720538
790	0.02534586351
791	0.02528440887
792	0.02524275302
793	0.02519655897
794	0.02515702604
795	0.02512163764
796	0.02508887826
797	0.02503438345
798	0.02499105729
799	0.0249475514
800	0.02490427981
801	0.02487795892
802	0.02482915587
803	0.02480298405
804	0.02474747066
805	0.02469963636
806	0.0246503049
807	0.02460878007
808	0.0245714337
809	0.02451398088
810	0.02448568271
811	0.02445066608
812	0.02442211341
813	0.0243769145
814	0.02433560215
815	0.02428154809
816	0.02425371459
817	0.02420122398
818	0.02416238016
819	0.02412153491
820	0.02406883323
821	0.02403388116
822	0.02398757122
823	0.02395878956
824	0.02392359316
825	0.02388216847
826	0.02382679088
827	0.02379605815
828	0.02376050875
829	0.02373772045
830	0.02369825299
831	0.02364750365
832	0.02360821355
833	0.02356503763
834	0.02350792243
835	0.02346406244
836	0.0234381725
837	0.02341733061
838	0.02337261184
839	0.02332145653
840	0.02327604799
841	0.02322395322
842	0.02318926622
843	0.02315184133
844	0.02311567074
845	0.02308765076
846	0.02303741228
847	0.02299136566
848	0.02294511282
849	0.02288705273
850	0.02284133736
851	0.02281773869
852	0.022766341
853	0.02274037418
854	0.02269401061
855	0.02265072587
856	0.02262600999
857	0.02258520771
858	0.02253970195
859	0.02250402694
860	0.02247957851
861	0.02244160948
862	0.02241507201
863	0.0223663696
864	0.02232943417
865	0.02227466802
866	0.02223373012
867	0.02219818755
868	0.02216719189
869	0.02213924533
870	0.02210212883
871	0.02204687014
872	0.02201771603
873	0.02197519407
874	0.02193670513
875	0.02190206673
876	0.02187036494
877	0.02183546225
878	0.02180577473
879	0.02177992768
880	0.0217486747
881	0.02171254893
882	0.0216787702
883	0.02163401202
884	0.02160280643
885	0.02158596721
886	0.02155632386
887	0.02152111483
888	0.02148709476
889	0.02145862093
890	0.02143005779
891	0.0213984491
892	0.0213600398
893	0.02132982192
894	0.02128763285
895	0.02124747958
896	0.02120739542
897	0.0211850187
898	0.02115688661
899	0.02114374891
900	0.02111799551
901	0.0210791211
902	0.0210503963
903	0.02102122765
904	0.02099653491
905	0.02097804014
906	0.02094570379
907	0.02091372984
908	0.02089409029
909	0.02086562506
910	0.02082829179
911	0.02080122287
912	0.02076597716
913	0.02073923699
914	0.0207068407
915	0.02068097579
916	0.02064890321
917	0.02060813873
918	0.02059068494
919	0.02056161983
920	0.02054123417
921	0.02051517621
922	0.02048784516
923	0.0204615967
924	0.02043483651
925	0.0203970944
926	0.0203616076
927	0.02032127098
928	0.02028577578
929	0.0202497903
930	0.02021528483
931	0.02019617117
932	0.0201738248
933	0.02014017725
934	0.02011800689
935	0.02010151109
936	0.02006074648
937	0.02003099741
938	0.02001424947
939	0.01998472414
940	0.01995981034
941	0.01992809202
942	0.0198939393
943	0.01987086808
944	0.01984989101
945	0.01981869681
946	0.01979477962
947	0.01977238769
948	0.01974185529
949	0.01972308688
950	0.01970867459
951	0.01967725999
952	0.01964761421
953	0.01962300177
954	0.01960598065
955	0.01958094381
956	0.01955403296
957	0.01952371924
958	0.01948866886
959	0.01946293999
960	0.0194370242
961	0.01939956979
962	0.01938538691
963	0.01935356894
964	0.0193232105
965	0.01930109049
966	0.01927613183
967	0.01925193339
968	0.01921169887
969	0.01919771133
970	0.01917282941
971	0.01915049409
972	0.0191247914
973	0.01910171665
974	0.01908440791
975	0.01904561214
976	0.01901264228
977	0.01898967858
978	0.01897236521
979	0.01894849173
980	0.01892220085
981	0.01890493757
982	0.01888274978
983	0.01885809799
984	0.0188327186
985	0.01880924516
986	0.01877771867
987	0.01874896116
988	0.01872064382
989	0.01868117458
990	0.0186505234
991	0.01862429672
992	0.01859978758
993	0.01857328933
994	0.01855128234
995	0.01853883821
996	0.01851208133
997	0.01848449368
998	0.01846640306
999	0.01844216439
